filename,creator,source_url,license,license_url,modifications,title,retrieval_date,sha256,training_status
105527607_618a976de7_o.jpg,Luigi Anzivino,https://www.flickr.com/photos/ilmungo/105527607/,CC BY-NC-SA 2.0,https://creativecommons.org/licenses/by-nc-sa/2.0/,none to source file; training preprocessing may resize and/or crop,Fresh Tuna and Radish Salad with Wasabi Dressing,2026-09-20,c1345f102b00e12680e3692d4f1fc23fa47535e21328ca44b89a795236c91b6c,approved-noncommercial-sharealike
12284700334_f5945580f8_o.jpg,free range jace,https://www.flickr.com/photos/strausser/12284700334/,CC BY-NC 2.0,https://creativecommons.org/licenses/by-nc/2.0/,none to source file; training preprocessing may resize and/or crop,DSC08786.jpg,2026-09-20,cb6d04ea61cdd4d263e8b38eee184347a9d65a2fbbeb9390d346c628143aac18,approved-noncommercial-attribution-required
13187362234_ebefbfa014_o.jpg,Dawid Cedler,https://www.flickr.com/photos/cdcobra/13187362234/,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0/,none to source file; distributed adaptations must retain the same license,Sushi day,2026-09-18,466146b4dac0bbeb8502cad6f2523e11731229613fe43dffd01e6e4de0a8dfe9,conditional-sharealike
14164354412_c273356af5_o.jpg,MikoFox,https://www.flickr.com/photos/mikofox/14164354412/,CC BY-NC-SA 2.0,https://creativecommons.org/licenses/by-nc-sa/2.0/,none to source file; training preprocessing may resize and/or crop,Latte Lake,2026-09-18,005e9ece3bae900a816c310a929f00a966fca024ebda5a92bd23eeec940a58de,approved-noncommercial-sharealike
15380313960_e66eb83b69_o.jpg,Tjarko Busink,https://www.flickr.com/photos/sjekkiebunzing/15380313960/,CC BY-NC 2.0,https://creativecommons.org/licenses/by-nc/2.0/,none to source file; training preprocessing may resize and/or crop,Our house in a wine glass,2026-09-18,fa3e8052c8de5ed9ac46672439c64c65e351ede1b81c61d369f7eeebf8ff19a9,approved-noncommercial-attribution-required
16718295295_e72e00ba5a_o.jpg,Jasmine Halki,https://www.flickr.com/photos/120420083@N05/16718295295/,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,none to source file; training preprocessing may resize and/or crop,Fasting food,2026-09-18,446373fa300655d540de6982d355bb4ebcaa0b1ec4d2167e7a41682b94a38785,approved-attribution-required
16976422189_eb49c9db10_o.jpg,Edsel Little,https://www.flickr.com/photos/edsel_/16976422189/,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0/,none to source file; distributed adaptations must retain the same license,Dinner in the Dark 46 - Dessert,2026-09-18,4446c016b55b24bab646a5b4fc023cb2d76a4b7efc24f97340b1c8aed195f93a,conditional-sharealike
189505984_261d40d77e_o.jpg,Paolo Signorini,https://www.flickr.com/photos/or_slurm/189505984/,CC BY-NC 2.0,https://creativecommons.org/licenses/by-nc/2.0/,none to source file; training preprocessing may resize and/or crop,Scottish breakfast 2,2026-09-18,767e4dd589d17250345a346604d688efe953e5aab91f71752bed2846ee25da09,approved-noncommercial-attribution-required
19606928322_7fd63d9fd6_o.jpg,Image Catalog,https://www.flickr.com/photos/image-catalog/19606928322/,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,none to source file; training preprocessing may resize and/or crop,Dining Table with Food on Plate and Wine Glasses,2026-09-20,8a5474362e0c0b625fc000228d6fa12c2403a1692d685f00a368d660b806ccc6,approved-no-attribution-required
1998264020_9f6d5f45a2_o.jpg,Adam Baker,https://www.flickr.com/photos/atbaker/1998264020/,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,none to source file; training preprocessing may resize and/or crop,Ingredients,2026-09-18,23cfba96035a2261441d15f9319096f5aec126b65027d264d9ef7c4d19869fb9,approved-attribution-required
23116257700_1785cd8f22_o.jpg,WineCountry Media,https://www.flickr.com/photos/winecountrymedia/23116257700/,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,none to source file; training preprocessing may resize and/or crop,Empty courtyard with marble tables and metal chairs,2026-09-20,915e6228ad43e7aaf88d93dcd66fe7fe8d41edb89bf6eb7a782aa467bfc36982,approved-attribution-required
